id,description
C-204/89,"Stahlwerke Peine-Salzgitter / Commission (C-204/89) ECLI:EU:C:1989:546, see Case  T-120/89"
C-205/89,"Judgment of 19 March 1991, Commission / Greece (C-205/89, ECR 1991 p. I-1361) ECLI:EU:C:1991:123"
C-206/89 R,"Order of 31 July 1989, S. / Commission (C-206/89 R, ECR 1989 p. 2841) ECLI:EU:C:1989:333"
C-206/89,"S. / Commission (C-206/89) ECLI:EU:C:1989:547, see Case  T-121/89"
C-207/89,"Ferrandi / Commission (C-207/89) ECLI:EU:C:1989:548, see Case  T-122/89"
C-208/89,"Removed from the register on 18 September 1991, Commission / Italy (C-208/89) ECLI:EU:C:1991:341"
C-209/89,"Judgment of 21 March 1991, Commission / Italy (C-209/89, ECR 1991 p. I-1575) ECLI:EU:C:1991:139"
C-210/89,"Judgment of 11 October 1990, Commission / Italy (C-210/89, ECR 1990 p. I-3697) ECLI:EU:C:1990:357"
C-211/89,"Chomel / Commission (C-211/89) ECLI:EU:C:1989:549, see Case  T-123/89"
C-212/89,"Kormeier / Commission (C-212/89) ECLI:EU:C:1989:550, see Case  T-124/89"
C-213/89,"Judgment of 19 June 1990, The Queen / Secretary of State for Transport, ex parte Factortame (C-213/89, ECR 1990 p. I-2433)          (SVX/00435 FIX/00453) ECLI:EU:C:1990:257"
C-214/89,"Judgment of 10 March 1992, Powell Duffryn / Petereit (C-214/89, ECR 1992 p. I-1745)          (SVXII/I-1 FIXII/I-29) ECLI:EU:C:1992:115"
